Name;Sex;PeoplesCount
Аионида;Female;0
Аира;Female;137
Аироника;Female;0
Аиса;Female;241
Аисия;Female;13
Аисма;Female;1
Аися;Female;9
Аита;Female;83
Аите;Female;5
Аитонина;Female;0
Аифала;Female;0
Аиша;Female;9000
Аише;Female;59
Айбала;Female;321
Айбаджи;Female;0
Айбарша;Female;400
Айбика;Female;107
Айбике;Female;377
мусульманское;Female;512
Айболек;Female;72
Айва;Female;267
Айвагюль;Female;2
Айваре;Female;3
Айвика;Female;34
Айвита;Female;23
Айвия;Female;0
Айга;Female;450
Айганат;Female;70
Айганым;Female;5000
Айгерим;Female;84000
Айгие;Female;0
Айгузель;Female;610
Айгуль;Female;126000
Айгуля;Female;7000
Айгюль;Female;1000
Айгюн;Female;1000
Айгюнь;Female;345
Айда;Female;3000
Айдай;Female;4000
Айдана;Female;57000
Айдима;Female;68
Айдина;Female;734
Айдинша;Female;1
Айдюль;Female;1
Айеда;Female;1
Айжан;Female;45000
Айжанна;Female;103
Айза;Female;5000
Айзада;Female;12000
Айзана;Female;460
Айзат;Female;8000
Айзанат;Female;355
Айима;Female;44
Айимеседо;Female;0
Аййимик;Female;0
Айка;Female;19000
Айко;Female;5000
Айкюнь;Female;0
Айла;Female;1000
Айлара;Female;498
туркменское;Female;671
Айле;Female;4
Айлиана;Female;1
Айлин;Female;3000
Айлинь;Female;10
Айлиса;Female;0
Айлита;Female;237
Айма;Female;103
Аймара;Female;425
Аймесей;Female;38
Аймеси;Female;8
Аймилев;Female;0
Аймира;Female;1000
Айна;Female;14000
Айнабат;Female;67
Айнагуль;Female;12000
Айнагюль;Female;4
Айназ;Female;3000
Айнара;Female;2000
Айнаш;Female;7000
Айне;Female;26
Айнель;Female;747
Айниджана;Female;1
Айниса;Female;348
Айнисе;Female;2
Айнора;Female;53
Айнула;Female;14
Айнулла;Female;23
Айнур;Female;73000
Айнура;Female;39000
Айнурэ;Female;10
Айпара;Female;160
Айра;Female;348
Айрин;Female;1000
Айрина;Female;155
Айрита;Female;12
Айрия;Female;2
Айса;Female;3000
Айсана;Female;2000
Айсара;Female;1000
Айсат;Female;51
Айседора;Female;389
Айсель;Female;4000
Айсенем;Female;69
Айсла;Female;0
Айслу;Female;5000
Айсолтан;Female;43
Айстра;Female;28
Айсула;Female;95
Айсулу;Female;19000
Айся;Female;75
Айсяу;Female;0
Айта;Female;1000
Айтбика;Female;5
Айтень;Female;12
Айтига;Female;1
Айтулу;Female;6
Айфара;Female;48
Айханум;Female;96
Айхуа;Female;5
Айчкиль;Female;0
Айша;Female;17000
Айшат;Female;7000
Айшварья;Female;36
Айше;Female;4000
Айширин;Female;1
Айымгуль;Female;2000
Айюба;Female;1
Айя;Female;6000
Айяла;Female;22
Айянь;Female;1
Айяра;Female;2
Академа;Female;25
Акатерина;Female;17
Акаша;Female;82
Акбала;Female;340
Акбаль;Female;13
Акбегенч;Female;2
Акбота;Female;14000
Аквелина;Female;2
Аквила;Female;115
Аквилина;Female;10
Аквилия;Female;2
Аквина;Female;3
Акгозель;Female;4
Акгыз;Female;5
Акгуль;Female;1000
Акгюль;Female;30
Акджа;Female;7
Акджагюль;Female;0
Акджемал;Female;8
Акеаина;Female;0
Акелина;Female;136
Акелына;Female;1
Акерке;Female;18000
Акжанна;Female;15
Акзиба;Female;12
Акико;Female;87
Акилина;Female;2000
Акилия;Female;1
Акиля;Female;27
Акима;Female;3000
Акиме;Female;190
Акимена;Female;10
Акимина;Female;63
Акина;Female;206
Акинола;Female;5
Акиодина;Female;0
Акипина;Female;1
Акифа;Female;21
Акка;Female;1000
Акканэ;Female;0
Аккелина;Female;2
Аккилина;Female;0
Аккулина;Female;27
Аклилу;Female;1
Аклима;Female;1000
Аклиме;Female;5
Аклина;Female;19
Аклиста;Female;2
Аклымя;Female;1
Акмаль;Female;5000
Акмарал;Female;27000
Акнабат;Female;26
Акнаид;Female;1
Аксана;Female;10000
Аксанита;Female;6
Аксану;Female;1
Аксау;Female;0
Акселина;Female;4
Акселия;Female;3
