Code;Vetis-GUID;Vetis-UUID;name-ru;name-en
CY;07c59e7c-4a8c-4035-8048-2847491c88ea;8e140d3a-f304-4d4c-b92f-1e9feb70f15e;Цилиндр;Cylinder
CZ;d9afec35-b224-404f-a3ff-74a0496c128d;acfc366e-06d3-40b1-bd31-db3528f05adc;Брезент;Canvas
DA;5fc55705-10dd-4071-a5ec-bd2337e98b95;21c0d24c-b301-4dd2-9bdf-1cb5a10b1d34;Ящик решетчатый (или обрешетка) многослойный пластмассовый;Crate, multiple layer, plastic
DB;aabbf190-ba1f-4611-8a97-6ce660a1dbc3;02da2f47-a032-4971-beea-5364df8acb9c;Ящик решетчатый (или обрешетка) многослойный деревянный;Crate, multiple layer, wooden
DC;f1a52766-b434-4e89-8440-60ba8df518c3;76b574e3-f95a-4adb-9be5-dd36661bb011;Ящик решетчатый (или обрешетка) многослойный картонный;Crate, multiple layer, cardboard
DG;09f4ec10-6101-4c3d-b57a-251aa11e7752;d1283209-c059-4f57-a4b2-573bcaa8e590;Клеть (многооборотная) Общего фонда транспортировочного оборудования EC;Cage, Commonwealth Handling Equipment Pool (CHEP)
DH;5a5960a3-121e-4da1-8437-130b3cbc55c6;e53f24ea-dd52-4e8b-b282-a8ee93d44679;Коробка (многооборотная) из Общего фонда транспортировочного оборудования ЕС, Еврокоробка;Box, Commonwealth Handling Equipment Pool (CHEP), Eurobox
DI;bbe136bd-0da4-42fd-800a-79435f4dd2c0;3e801607-351e-4654-8eb7-20e6f7ac99e4;Барабан, железный;Drum, iron
DJ;b654b00e-7601-408e-b059-783ab0371b35;afab7930-45df-4b87-9213-70270bd3b72a;Бутыль оплетенная большая (емкостью от 9 до 54 л) незащищенная;Demijohn, non-protected
DK;ebf8776f-0e3d-4aff-bc64-28fb6e93a6fb;b7f57644-e943-4b7e-a929-a130ca338d6d;Ящик решетчатый для массовых грузов картонный;Crate, bulk, cardboard
DL;7c4ea86f-477d-499e-b9b5-281c8d7cb2a5;8100ec3b-74c5-47e7-8ce9-0d7d60a076d9;Ящик решетчатый для массовых грузов пластмассовый;Crate, bulk, plastic
DM;e879ae24-cac7-4dd1-a0e5-1d433b3493ab;94b723d2-8a96-4c00-8d2c-5ca9cde6efc5;Ящик решетчатый для массовых грузов деревянный;Crate, bulk, wooden
DN;af4d4677-3ea7-46ba-9fe0-504ba81ebea7;4331bfb8-4a3e-41f8-be13-47fced880a9e;Дозатор;Dispenser
DP;3e311a74-00dd-4554-b656-748aa45cc069;c44c92da-0cab-4ed7-8695-91602d9e581a;Бутыль оплетенная большая (емкостью от 9 до 54 л) защищенная;Demijohn, protected
