GrpName;Name;Code;ManufName;Country;Brand;UnitName;PhUnitName;PhUPerU;UnitsPerPack;Vat;ExpiryPeriod;PckgQtty;PckgBrutto;PckgLength;PckgWidth;PckgHeight
Орехи;Драже Р.Лакомства фундук в диет.гл.150г туба;4607013591493;Россия;Россия;Российские Лакомства;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Р.Лакомства фундук в шок.150г туба;4607013591486;Россия;Россия;Российские Лакомства;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Драже Р.Лакомства шок.вишенка в цв.гл.180г туба;4607013591325;Россия;Россия;Российские Лакомства;ШТ 1;Кг;0.180000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Драже Тю-ша ананас в шоколаде 150г;4607015927832;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Тю-ша кедр в бел.шоколаде 150г;4607015927788;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Тю-ша кедр в шоколаде 150г;4607015927641;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Тю-ша кешью в бел.шоколаде 150г;4607015927283;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Тю-ша миндаль в бел.шоколаде 150г;4607015927764;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Тю-ша миндаль в шоколаде 150г;4607015928310;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Драже Тю-ша папайя в бел.шоколаде 150г;4607015927498;Россия;Россия;Тю-Ша;ШТ 1;Кг;0.150000;0.000;18.0;0;0.000;0;0;0;0
Орехи;Драже Фундук в шоколаде 150г Натс;4607004640070;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Дыня Гуд Фуд тайская 110г;4606847001642;Россия;Россия;;ШТ 1;;0.000000;0.000;18.0;0;0.000;0;0;0;0
Сухофрукты;Дыня Канталупа;28593775;Тайланд;Тайланд;;Кг;;0.000000;0.000;18.0;0;0.000;0;0;0;0
