TAB: 4
LENGTHS OF VALUE:
16..19				| 6..9		| 6..10			| 1				| 14..17			| 2..5		| 2..5		| 6..9		|
-------------------------------------------------------------------------------------------------------------------------
date time			| size of	| size of		| size of		| entry point		| section	| file		| size of	|
stamp				| code		| initialized	| uninitialized	|					| alignment	| alignment	| image		|
					|			| data			| data			|					|			|			|			|
-------------------------------------------------------------------------------------------------------------------------
ó‚ 16.04.2009 - 17:53 	| 472C00	| 232A00		| 0				| 274F3D(00674F3D)	| 1000		| 200		| 6A7000	| 
ó‚ 23.04.2009 - 19:38 	| 473A00	| 232A00		| 0				| 2756FD(006756FD)	| 1000		| 200		| 6A8000	| 
ë° 25.04.2009 - 16:39 	| 474000	| 232A00		| 0				| 275A0D(00675A0D)	| 1000		| 200		| 6A8000	| 
Ç· 26.04.2009 - 17:06 	| 474000	| 232A00		| 0				| 275A0D(00675A0D)	| 1000		| 200		| 6A8000	| 
è≠ 27.04.2009 - 14:32 	| 474000	| 232A00		| 0				| 275A4D(00675A4D)	| 1000		| 200		| 6A8000	| 
Ç‚ 28.04.2009 - 19:25 	| 474000	| 232A00		| 0				| 275A0D(00675A0D)	| 1000		| 200		| 6A8000	| 
ë° 02.05.2009 - 20:12 	| 474A00	| 232A00		| 0				| 2761DD(006761DD)	| 1000		| 200		| 6A9000	| 
è≠ 04.05.2009 - 19:14 	| 478A00	| 232E00		| 0				| 276CAD(00676CAD)	| 1000		| 200		| 6AE000	| 
Ç‚ 05.05.2009 - 20:38 	| 478A00	| 232E00		| 0				| 276A2D(00676A2D)	| 1000		| 200		| 6AE000	| 
ë° 09.05.2009 - 17:09 	| 479200	| 232E00		| 0				| 27710D(0067710D)	| 1000		| 200		| 6AF000	| 
Ç· 24.05.2009 - 21:47 	| 47DE00	| 232E00		| 0				| 27B57D(0067B57D)	| 1000		| 200		| 6B3000	| 
è≠ 25.05.2009 - 17:29 	| 485200	| 233400		| 0				| 281FCD(00681FCD)	| 1000		| 200		| 6BB000	| 
